date,Adj TQQQ,EMA19,EMA39
20160413,5.9322,0,0
20160414,5.9361,0.018999958,0.009499979
20160415,5.8906,0.042099962,0.02152498
20160418,5.9776,0.048889932,0.025948714
20160419,5.8745,0.02500098,0.015151299
20160420,5.8889,0.056500898,0.031393742
20160421,5.8906,0.0088508,0.008824051
20160422,5.6239,0.034965671,0.021882824
20160425,5.6195,-0.008530858,0.000788701
20160426,5.5424,0.079322216,0.044249261
20160427,5.4094,0.073389945,0.043036773
20160428,5.2175,0.083050958,0.049384938
20160429,5.1344,0.108745973,0.063915746
20160502,5.2702,0.074871326,0.049219934
20160503,5.1299,0.04838414,0.037258911
20160504,5.0285,0.113545802,0.070396004
20160505,5.0257,0.16919123,0.100376207
20160506,5.0983,0.206272103,0.122357395
20160509,5.1432,0.203644923,0.12523954
20160510,5.3589,0.221280442,0.137977569
20160511,5.2126,0.225152421,0.144078702
20160512,5.1394,0.257637198,0.164374777
20160513,5.0773,0.309873451,0.195156024
20160516,5.2730,0.268886068,0.180398204
20160517,5.0706,0.255997496,0.178378311
20160518,5.1283,0.248397681,0.178459363
20160519,5.0473,0.225557959,0.170536418
20160520,5.2159,0.209002205,0.165009618
20160523,5.1904,0.108102061,0.116759175
20160524,5.5081,0.024291805,0.074421192
20160525,5.6267,-0.091137291,0.014200174
20160526,5.6738,-0.155023612,-0.02300986
20160527,5.7592,-0.231521258,-0.06785937
20160531,5.7936,-0.299369117,-0.109966394
20160601,5.7958,-0.351432175,-0.145468059
20160602,5.8285,-0.407288942,-0.183694649
20160603,5.7487,-0.454560059,-0.218509922
20160606,5.8102,-0.510103981,-0.25808439
20160607,5.7692,-0.560093606,-0.295680182
20160608,5.7947,-0.621084253,-0.339396176
20160609,5.7692,-0.654975831,-0.370426369
20160610,5.5751,-0.738478321,-0.426405087
20160613,5.4321,-0.877630405,-0.511584791
20160614,5.4349,-1.001867448,-0.592005593
20160615,5.3861,-1.028680558,-0.625905241
20160616,5.4249,-0.832812663,-0.548110059
20160617,5.2392,-0.827531465,-0.559704591
20160620,5.3334,-0.872778387,-0.595719395
20160621,5.3866,-0.892500518,-0.61943341
20160622,5.3517,-0.90825039,-0.640961702
20160623,5.5774,-0.950425343,-0.675413613
20160624,4.8943,-1.104382786,-0.766142921
20160627,4.6094,-1.177944523,-0.819835782
20160628,4.8982,-1.144150086,-0.820844001
20160629,5.1527,-1.098735035,-0.81430178
20160630,5.3401,-1.074861497,-0.816586674
20160701,5.4132,-1.054375432,-0.819257382
20160705,5.3173,-1.0369379,-0.822294519
20160706,5.4426,-1.007244087,-0.818179781
20160707,5.4942,-0.963519743,-0.805770825
20160708,5.7481,-0.952167712,-0.807982255
20160711,5.8462,-1.000950898,-0.839583121
20160712,5.9383,-1.025855809,-0.860103965
20160713,5.8967,-1.005270197,-0.858098751
20160714,6.0164,-0.961743147,-0.843693799
20160715,5.9826,-0.964568809,-0.851009097
20160718,6.1018,-0.972111925,-0.86045864
20160719,6.0386,-0.950900755,-0.85543572
20160720,6.2454,-0.909810771,-0.83966398
20160721,6.2083,-1.088829675,-0.932680771
20160722,6.2803,-1.126946734,-0.959546746
20160725,6.2859,-1.113252038,-0.961069397
20160726,6.3070,-1.052926857,-0.938515939
20160727,6.4300,-1.006634187,-0.921090149
20160728,6.4999,-0.814970783,-0.82953565
20160729,6.5426,-0.768473648,-0.805558839
20160801,6.6451,-0.821626207,-0.830280858
20160802,6.4955,-0.82846362,-0.833266833
20160803,6.5570,-0.829617178,-0.833603451
20160804,6.6158,-0.807655426,-0.822423261
20160805,6.8070,-0.809889876,-0.822802094
20160808,6.7854,-0.814900854,-0.824661973
20160809,6.8303,-0.847410707,-0.840428843
20160810,6.7776,-0.85866964,-0.846407403
20160811,6.8652,-0.858802737,-0.847087063
20160812,6.8780,-0.860922475,-0.848732716
20160815,6.9645,-0.90583027,-0.871796101
20160816,6.8547,-0.934247296,-0.887706323
20160817,6.8869,-0.944822563,-0.895321005
20160818,6.8935,-0.954340303,-0.902554953
20160819,6.8841,-0.960906318,-0.908427228
20160822,6.8907,-1.03581569,-0.948505868
20160823,6.9318,-1.09423411,-0.982080569
20160824,6.7982,-1.12981068,-1.005476531
20160825,6.7660,-1.125829627,-1.009702712
20160826,6.7987,-1.158246645,-1.031717567
20160829,6.8176,-1.225421973,-1.071631685
20160830,6.7560,-1.287879718,-1.110550072
20160831,6.7383,-1.286091792,-1.118522591
20160901,6.7682,-1.270482529,-1.11909642
20160902,6.8475,-1.261434211,-1.122141566
20160906,6.9745,-1.305290867,-1.151034526
20160907,6.9872,-1.306761749,-1.159482785
20160908,6.8675,-1.308085639,-1.167508678
20160909,6.3469,-1.191277014,-1.116133214
20160912,6.6723,-1.249149263,-1.148826528
20160913,6.5149,-1.203234429,-1.130885247
20160914,6.5986,-1.253910894,-1.159840939
20160915,6.9046,-1.207519706,-1.141348843
20160916,6.8968,-1.143767704,-1.112781385
20160919,6.8065,-1.081390884,-1.083142291
20160920,6.8442,-1.01225183,-1.048485194
20160921,7.0432,-0.900026682,-0.990560951
20160922,7.2079,-0.828024044,-0.950032919
20160923,7.0781,-0.750221659,-0.905031283
20160926,6.9024,-0.696199497,-0.87027972
20160927,7.0981,-0.642579627,-0.834765774
20160928,7.1369,-0.592321699,-0.800027503
20160929,6.9855,-0.453089605,-0.720026166
20160930,7.1291,-0.406780622,-0.683524846
20161003,7.1131,-0.376102502,-0.654348575
20161004,7.0726,-0.296492244,-0.600631143
20161005,7.1463,-0.21684302,-0.545599586
20161006,7.1352,-0.129158733,-0.485319614
20161007,7.0887,-0.056242822,-0.431053614
20161010,7.2156,-0.139618574,-0.454000951
20161011,6.9174,-0.136656682,-0.436800886
20161012,6.9029,-0.182990957,-0.444960813
20161013,6.8220,-0.178691991,-0.429712837
20161014,6.8375,-0.173822899,-0.414727249
20161017,6.7904,-0.197440498,-0.414490831
20161018,6.9645,-0.172696429,-0.39126628
20161019,6.9673,-0.118426798,-0.353202972
20161020,6.9379,-0.080584095,-0.322542812
20161021,7.0133,-0.049525731,-0.294915694
20161024,7.2689,-0.037573189,-0.276669924
20161025,7.1962,0.018184081,-0.236836453
20161026,7.0582,0.063365699,-0.201494617
20161027,6.9595,0.149029232,-0.145419835
20161028,6.8392,0.23112624,-0.089648877
20161031,6.8004,0.32701367,-0.025666407
20161101,6.6607,0.36831228,0.012616902
20161102,6.4871,0.477481151,0.084986107
20161103,6.3003,0.488733051,0.110236809
20161104,6.2288,0.607859777,0.188724984
20161107,6.6751,0.589073807,0.200288738
20161108,6.8059,0.531166449,0.190774313
20161109,6.9013,0.468049766,0.176235578
20161110,6.5731,0.465244843,0.189423826
20161111,6.5675,0.420720309,0.18095261
20161114,6.3458,0.364648339,0.16490501
20161115,6.6396,0.316183516,0.150659765
20161116,6.7477,0.281565096,0.141626743
20161117,6.9041,0.240408575,0.1280454
20161118,6.8264,0.222367664,0.124643103
20161121,7.0316,0.138130909,0.087410954
20161122,7.0948,0.081317788,0.061540391
20161123,7.0094,0.034185975,0.038963354
20161125,7.0770,0.004767354,0.024015175
20161128,7.0377,-0.051709328,-0.005185557
20161129,7.1053,-0.092538399,-0.027926281
20161130,6.8752,-0.084284582,-0.027029979
20161201,6.4977,-0.07985612,-0.027678478
20161202,6.5237,-0.072870531,-0.026794565
20161205,6.6745,-0.09658352,-0.040954858
20161206,6.7228,-0.139925141,-0.065407102
20161207,6.9722,-0.154932623,-0.076636745
20161208,7.0149,-0.117439429,-0.061804942
20161209,7.1790,-0.195695448,-0.103714676
20161212,7.0792,-0.284125896,-0.152528938
20161213,7.3559,-0.297713314,-0.165902495
20161214,7.3021,-0.344941933,-0.196107346
20161215,7.3465,-0.384447717,-0.223301967
20161216,7.2572,-0.408002934,-0.243136863
20161219,7.3459,-0.475202633,-0.284980016
20161220,7.4346,-0.488682335,-0.301230998
20161221,7.4086,-0.473814117,-0.303169456
20161222,7.3443,-0.46043272,-0.30501099
20161223,7.3670,-0.449389391,-0.307260412
20161227,7.4745,-0.483450448,-0.33139739
20161228,7.3016,-0.512105354,-0.353327495
20161229,7.2661,-0.506894822,-0.358661123
20161230,7.0537,-0.517205306,-0.371228049
20170103,7.2245,-0.57248484,-0.406166679
20170104,7.3476,-0.559236409,-0.407858372
20170105,7.4779,-0.570312776,-0.420965457
20170106,7.6675,-0.540281449,-0.41341716
20170109,7.7451,-0.569253392,-0.434246345
20170110,7.7894,-0.581328011,-0.447034007
20170111,7.8493,-0.581195202,-0.453682303
20170112,7.8094,-0.573075682,-0.455998188
20170113,7.8992,-0.576768079,-0.463698261
20170117,7.8249,-0.608091306,-0.485013365
20170118,7.8781,-0.672282175,-0.523262697
20170119,7.8571,-0.722053965,-0.555599566
20170120,7.9081,-0.753848565,-0.579819586
20170123,7.9258,-0.778463708,-0.600828607
20170124,8.0910,-0.751617265,-0.59628714
20170125,8.3272,-0.748455565,-0.602472796
20170126,8.3616,-0.797609986,-0.634349145
20170127,8.4015,-0.788848991,-0.63813169
20170130,8.2108,-0.834964092,-0.668725105
20170131,8.1653,-0.84346769,-0.681288854
20170201,8.3206,-0.857120971,-0.696224436
20170202,8.2995,-0.872408897,-0.711913226
20170203,8.3716,-0.868167999,-0.71781756
20170206,8.4026,-0.907351222,-0.744926694
20170207,8.4891,-0.936616081,-0.76768035
20170208,8.5368,-0.950954465,-0.783296328
20170209,8.6255,-0.903859068,-0.768131537
20170210,8.7109,-0.857473215,-0.751724987
20170213,8.8639,-0.844725848,-0.750638714
20170214,8.9470,-0.927253271,-0.796606782
20170215,9.1012,-0.954527924,-0.816776434
20170216,9.0934,-0.981075159,-0.836937625
20170217,9.2076,-0.904967574,-0.80609071
20170221,9.3540,-0.918470813,-0.817786172
20170222,9.3551,-0.951623732,-0.839396864
20170223,9.2542,-0.955461336,-0.846927009
20170224,9.3041,-0.941915267,-0.845580691
20170227,9.3318,-0.97972371,-0.869301641
20170228,9.2586,-1.045751373,-0.907836576
20170301,9.5580,-1.027176201,-0.90544473
20170302,9.4072,-0.905458623,-0.850672515
